canonical_smiles,molecule_chembl_id,IC50_nM,pIC50,MWT,LogP,HBD,HBA,RO5_Compliant
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(C(F)(F)F)cc1,CHEMBL1914657,4608.0,5.336487529584844,479.3000000000001,6.100300000000004,3,4,True
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc2ccccc12,CHEMBL1914666,1008.0,5.996539467890494,461.36300000000017,6.234700000000005,3,4,True
Br.CC[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,CHEMBL1914665,4.0,8.397940008672037,425.3300000000001,5.471600000000004,3,4,True
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(Br)cc1,CHEMBL1914655,62.0,7.2076083105017466,490.1990000000001,5.844000000000003,3,4,True
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(F)cc1,CHEMBL1914654,3.8,8.42021640338319,429.2930000000001,5.220600000000004,3,4,True
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc(F)c1,CHEMBL1914660,9.0,8.045757490560675,429.2930000000001,5.220600000000004,3,4,True
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,CHEMBL1914653,3.7,8.431798275933005,411.3030000000001,5.081500000000004,3,4,True
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1F,CHEMBL1914658,8.0,8.096910013008056,429.2930000000001,5.220600000000004,3,4,True
Br.Cc1ccc([C@@H](C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)cc1,CHEMBL1914656,450.0,6.346787486224656,425.3300000000001,5.389920000000004,3,4,True
Br.Cc1cccc(C(C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)c1,CHEMBL1914661,95.0,7.022276394711152,425.33000000000015,5.389920000000004,3,4,True
Br.Cc1ccccc1C(C)Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12,CHEMBL1914659,17.0,7.769551078621726,425.33000000000015,5.389920000000004,3,4,True
Br.Oc1ccc(-c2cc3c(NCc4ccc(F)cc4)ncnc3[nH]2)cc1,CHEMBL1914662,26.0,7.585026652029182,415.266,4.659600000000003,3,4,True
Br.Oc1ccc(-c2cc3c(NCc4cccc(F)c4)ncnc3[nH]2)cc1,CHEMBL1914664,52.0,7.2839966563652006,415.266,4.659600000000003,3,4,True
Br.Oc1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1,CHEMBL1914461,3.3,8.481486060122112,397.276,4.520500000000004,3,4,True
Br.Oc1ccc(-c2cc3c(NCc4ccccc4F)ncnc3[nH]2)cc1,CHEMBL1914663,45.0,7.346787486224656,415.266,4.659600000000003,3,4,True
Brc1cc2c(NCc3ccccc3)ncnc2s1,CHEMBL3416599,241.0,6.617982957425132,320.21500000000003,4.065900000000001,1,4,True
Brc1cc2c(NCc3ccccn3)ncnc2s1,CHEMBL3416616,7904.0,5.102153068420428,321.20300000000003,3.4609000000000005,1,5,True
Brc1cc2c(NCc3cccs3)ncnc2s1,CHEMBL3416619,1374.0,5.862013267276469,326.244,4.127400000000001,1,5,True
Brc1cc2c(NCc3ccncc3)ncnc2s1,CHEMBL3416614,3883.0,5.410832609453952,321.20300000000003,3.4609000000000005,1,5,True
Brc1cc2c(Nc3ccccc3)ncnc2s1,CHEMBL3416621,80.0,7.096910013008056,306.18800000000005,4.197400000000002,1,4,True
Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,CHEMBL2325098,710.0,6.1487416512809245,427.34500000000014,6.9580000000000055,0,2,True
Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,CHEMBL2325091,490.0,6.309803919971486,427.34500000000014,6.9580000000000055,0,2,True
Brc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(Br)cc3)C2)cc1,CHEMBL1821878,8950.0,5.048176964684088,539.296,7.690800000000005,0,4,False
Brc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,CHEMBL1928712,3130.0,5.504455662453552,484.1950000000001,6.510500000000003,2,4,True
Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,CHEMBL381306,18000.0,4.7447274948966935,383.249,4.569000000000003,2,5,True
Brc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2,CHEMBL382862,10000.0,5.0,369.22200000000004,4.700500000000003,2,5,True
Brc1cccc(Nc2[nH]cnc3c4ccccc4nc2-3)c1.Cl,CHEMBL554983,82.5,7.0835460514500745,375.6570000000001,4.990600000000002,2,3,True
Brc1cccc(Nc2[nH]cnc3nc4ccccc4c2-3)c1,CHEMBL423224,31.0,7.508638306165727,339.1960000000001,4.568800000000001,2,3,True
Brc1cccc(Nc2ccnc3ccccc23)c1,CHEMBL37346,5500.0,5.259637310505756,299.17100000000005,4.740900000000003,1,2,True
Brc1cccc(Nc2ncnc3[nH]c4c(c23)CCCC4)c1,CHEMBL72393,46.0,7.337242168318426,343.22800000000024,4.342800000000002,2,3,True
Brc1cccc(Nc2ncnc3[nH]ccc23)c1,CHEMBL5181237,3.76,8.424812155072338,289.136,3.4640000000000004,2,3,True
Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1,CHEMBL383614,4100.0,5.3872161432802645,448.11800000000017,5.463000000000002,2,5,True
Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1,CHEMBL203219,5750.0,5.2403321553103694,369.22200000000015,4.700500000000003,2,5,True
Brc1cccc(Nc2ncnc3c2[nH]c2ccccc23)c1,CHEMBL5198809,72.0,7.142667503568732,339.1960000000001,4.617200000000002,2,3,True
Brc1cccc(Nc2ncnc3c2ccc2[nH]cnc23)c1,CHEMBL155100,272.0,6.565431095965801,340.184,4.012200000000002,2,4,True
Brc1cccc(Nc2ncnc3c2oc2ccccc23)c1,CHEMBL149512,740.0,6.130768280269024,340.18000000000006,4.882100000000002,1,4,True
Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,CHEMBL356850,85.9,7.066006836168758,356.24800000000005,5.350600000000002,1,4,True
Brc1cccc(Nc2ncnc3c2sc2ncccc23)c1,CHEMBL153409,732.0,6.135488918941608,357.23600000000005,4.745600000000001,1,5,True
Brc1cccc(Nc2ncnc3c2sc2ncsc23)c1.CO,CHEMBL346863,40.0,7.3979400086720375,395.3070000000001,4.415600000000002,2,7,True
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,CHEMBL126384,5.385,8.268814292365999,457.3760000000004,4.055200000000002,2,7,True
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,CHEMBL126623,1.905,8.720105019988361,443.34900000000033,3.6651000000000016,2,7,True
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,CHEMBL126791,0.51145,9.291196817055418,424.30600000000015,4.229600000000001,2,7,True
Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,CHEMBL128987,3.236,8.489991487059765,429.3220000000003,3.2750000000000012,2,7,True
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,CHEMBL338114,0.911,9.040481623027002,410.2790000000001,3.9086,3,6,True
Brc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)c1,CHEMBL3806143,18.48,7.733298033115912,501.38100000000054,4.008200000000002,1,8,True
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,CHEMBL36967,9.55,8.019996628416253,438.3290000000003,4.4494000000000025,2,5,True
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,CHEMBL40734,0.44,9.356547323513812,339.196,4.617200000000001,2,3,True
Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,CHEMBL66031,0.008,11.096910013008056,340.184,4.012200000000001,2,4,True
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,CHEMBL39337,0.44,9.356547323513812,340.184,4.012200000000001,2,4,True
Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1,CHEMBL172652,4.1,8.387216143280265,341.172,3.4072000000000005,2,5,True
Brc1cccc(Nc2ncnc3cc4c(cc23)CN4)c1,CHEMBL447331,0.4365,9.36001575195841,327.18500000000006,4.061400000000001,2,4,True
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,CHEMBL1198361,85.0,7.070581074285707,372.2220000000002,4.297200000000002,1,5,True
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCSCCCO4)c1,CHEMBL2087359,8.0,8.096910013008056,446.37000000000035,5.420500000000003,1,6,True
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,CHEMBL1198370,14.55,7.8371370066780734,358.19500000000016,3.9071000000000016,1,5,True
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)c1,CHEMBL2087353,55.0,7.259637310505756,402.2480000000003,3.923700000000002,1,6,True
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,CHEMBL2087355,27.5,7.560667306169737,446.3010000000004,3.9403000000000024,1,7,True
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,CHEMBL2087356,27.5,7.560667306169737,462.3000000000004,3.871900000000002,1,8,True
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1,CHEMBL2087357,7.0,8.154901959985743,418.31600000000026,4.6403000000000025,1,6,True
Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1,CHEMBL93051,15.0,7.823908740944319,344.1680000000001,3.864600000000001,1,5,True
Brc1cccc(Nc2ncnc3cc4c(cc23)Oc2ccccc2O4)c1,CHEMBL2087352,120.0,6.920818753952375,406.23900000000015,6.033900000000002,1,5,True
Brc1cccc(Nc2ncnc3cc4c(ccn4CCCN4CCOCC4)cc23)c1,CHEMBL1797418,77.62,7.110026361596004,466.3830000000004,4.8129000000000035,1,6,True
Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,CHEMBL40130,15.85,7.79997073344623,452.35600000000034,4.422800000000003,1,6,True
Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,CHEMBL39355,42.9,7.367542707815276,467.3710000000004,4.207900000000002,1,7,True
Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,CHEMBL38199,190.55,6.719991046891814,453.34400000000034,3.817800000000002,1,7,True
Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1,CHEMBL366580,0.34,9.468521082957745,340.184,4.012200000000001,2,4,True
Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,CHEMBL63786,0.003,11.522878745280337,350.21900000000005,5.289100000000002,1,3,True
Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1,CHEMBL173498,1.7,8.769551078621726,352.19500000000005,4.079100000000001,1,5,True
Brc1cccc(Nc2ncnc3cc4ncsc4cc23)c1,CHEMBL177053,44.0,7.356547323513812,357.23600000000005,4.745600000000001,1,5,True
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,CHEMBL137364,64.0,7.1938200260161125,456.34800000000035,4.247200000000003,2,7,True
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,CHEMBL424093,25.0,7.6020599913279625,433.31300000000016,6.115200000000003,2,5,True
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,CHEMBL138125,238.0,6.623423042943488,434.30100000000016,5.510200000000003,2,6,True
Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1,CHEMBL2425736,1.7,8.769551078621726,440.3890000000004,5.4238000000000035,2,5,True
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCCO5)cc23)c1,CHEMBL2070200,1140.0,5.943095148663527,491.3890000000004,6.299400000000003,2,6,True
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCO5)cc23)c1,CHEMBL2070198,98.0,7.008773924307505,477.36200000000036,5.909300000000003,2,6,True
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCO5)cc23)c1,CHEMBL2070192,1020.0,5.991399828238082,463.3350000000003,5.519200000000002,2,6,True
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)c1,CHEMBL2070197,630.0,6.200659450546418,449.3080000000003,5.476700000000002,2,6,True
Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1,CHEMBL153170,29.0,7.5376020021010435,340.1840000000001,4.012200000000001,2,4,True
Brc1cccc(Nc2ncnc3ccc4c(c23)OCCN4)c1,CHEMBL5287505,120.5,6.919012953089113,357.2110000000002,3.940200000000001,2,5,True
Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,CHEMBL153525,1.24,8.906578314837764,339.1960000000001,4.617200000000001,2,3,True
Brc1cccc(Nc2ncnc3ccccc23)c1,CHEMBL290096,27.0,7.568636235841013,300.15900000000005,4.135900000000001,1,3,True
Brc1cccc(Nc2ncnc3cccnc23)c1,CHEMBL54805,34.335,7.464262948269776,301.14700000000005,3.530900000000001,1,4,True
Brc1cccc(Nc2ncnc3ccncc23)c1,CHEMBL52665,35.239999999999995,7.452964100259989,301.14700000000005,3.530900000000001,1,4,True
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCCN1CCOCC1,CHEMBL272895,5.495,8.260032303240491,457.37600000000043,4.055200000000002,2,7,True
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCOCC1,CHEMBL271334,1.905,8.720105019988361,443.3490000000004,3.6651000000000016,2,7,True
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCn1ccnc1,CHEMBL272865,0.5129,9.289967300934247,424.3060000000002,4.229600000000001,2,7,True
Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1,CHEMBL405398,3.236,8.489991487059765,429.32200000000034,3.2750000000000004,2,7,True
Brc1cccc(Nc2ncnc3ccncc23)c1NCCc1c[nH]cn1,CHEMBL272187,0.912,9.040005161671584,410.27900000000017,3.9086000000000007,3,6,True
Brc1cccc(Nc2ncnc3ccsc23)c1,CHEMBL345294,11.0,7.958607314841775,306.18800000000005,4.197400000000001,1,4,True
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,CHEMBL165574,1.0,9.0,443.3490000000004,3.6651000000000016,2,7,True
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,CHEMBL417420,2.951,8.53003079050004,444.3370000000004,3.0601000000000003,2,8,True
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)c1,CHEMBL162981,1.7,8.769551078621726,424.3060000000002,4.229600000000001,2,7,True
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,CHEMBL162622,0.675,9.170696227168975,429.32200000000034,3.2750000000000012,2,7,True
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,CHEMBL294475,0.8128,9.090016305060155,430.31000000000034,2.67,2,8,True
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,CHEMBL162142,0.78,9.10790539730952,410.27900000000017,3.9086,3,6,True
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,CHEMBL53426,0.2512,9.599980364934842,411.26700000000017,3.3035999999999994,3,7,True
Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1,CHEMBL162223,1.2,8.920818753952375,421.3020000000002,4.580500000000002,2,6,True
Brc1cccc(Nc2ncnc3cnc(NCCn4ccnc4)nc23)c1,CHEMBL271328,2.344,8.630042392653946,411.26700000000017,3.2344999999999997,2,8,True
Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1,CHEMBL165508,1.5,8.823908740944319,407.27500000000015,4.538000000000001,2,6,True
Brc1cccc(Nc2ncnc3cnccc23)c1,CHEMBL51265,51.144999999999996,7.291196817055418,301.14700000000005,3.530900000000001,1,4,True
Brc1cccc(Nc2ncnc3ncccc23)c1,CHEMBL54475,689.915,6.16120441260318,301.14700000000005,3.530900000000001,1,4,True
Brc1cccc(Nc2ncnc3sc4c(c23)CCCC4)c1,CHEMBL4171764,2.61,8.58335949266172,360.28000000000026,5.076200000000002,1,4,True
Brc1cccc(Nc2ncnc3sccc23)c1,CHEMBL355982,35.0,7.455931955649724,306.18800000000005,4.197400000000001,1,4,True
Brc1cccc(Oc2ncnc3ccccc23)c1,CHEMBL117710,756.0,6.121478204498794,301.14300000000003,4.184600000000002,0,3,True
C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)C1,CHEMBL4867893,88.3,7.054039296422431,455.47400000000016,2.7882000000000007,2,6,True
C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,CHEMBL4863088,33.8,7.471083299722345,425.4480000000001,2.779600000000001,2,5,True
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5)cc4)[nH]c23)C1,CHEMBL4852264,38.6,7.413412695328245,457.46500000000015,3.3088000000000015,2,5,True
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5F)cc4)[nH]c23)CC1,CHEMBL4857353,32.8,7.484126156288321,489.4820000000002,3.838000000000002,2,5,True
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)CC1,CHEMBL4856592,50.8,7.294136287716081,483.52800000000025,3.5684000000000022,2,6,True
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,CHEMBL4875332,29.7,7.527243550682788,439.47500000000014,3.1697000000000015,2,5,True
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)CC1,CHEMBL4871192,30.8,7.511449283499556,453.5020000000002,3.559800000000002,2,5,True
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5F)cc4)[nH]c23)CC1,CHEMBL4869409,16.3,7.787812395596042,471.4920000000002,3.698900000000002,2,5,True
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5OC)cc4)[nH]c23)C1,CHEMBL4873984,104.0,6.982966660701219,469.5010000000002,3.178300000000001,2,6,True
C#CC(=O)N1CCN(C(=O)Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)[C@H](C)C1,CHEMBL5187762,0.32,9.494850021680094,532.3590000000002,4.492600000000004,1,7,True
C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL378144,0.6,9.221848749616356,368.1940000000001,3.1026000000000016,2,5,True
C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL202360,1.6,8.795880017344075,367.206,3.707600000000001,2,4,True
C#CCCC(=O)N1CCN(c2ccc(Nc3ncc(Cl)c(Oc4cccc(NC(=O)CCCCc5cc5=O)c4)n3)c(OC)c2)CC1,CHEMBL5400371,210.0,6.6777807052660805,643.1440000000002,5.323800000000004,2,9,False
C#CCCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,CHEMBL590558,32.7,7.485452247339714,413.88000000000017,5.746900000000004,1,5,True
C#CCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,CHEMBL591039,87.1,7.059981844992337,399.8530000000001,5.356800000000003,1,5,True
C#CCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,CHEMBL592216,2.53,8.596879478824182,385.8260000000001,4.966700000000003,1,5,True
C#CCCCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,CHEMBL592713,17.7,7.752026733638194,367.8360000000001,4.827600000000003,1,5,True
C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,CHEMBL3786812,16.0,7.795880017344075,469.93300000000016,2.6129,2,8,True
C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3ccn(C)n3)n2)cc1NC(=O)C=C,CHEMBL5070579,22.34,7.650916831220409,489.5840000000002,2.8316,3,10,True
C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,CHEMBL5072451,6.7940000000000005,8.167874457465992,538.6560000000002,4.589800000000002,3,9,True
C#CCN1CCN(c2ccc(Nc3ncc4c(C)cc(=O)n(-c5cccc(NC(=O)C=C)c5)c4n3)c(OC)c2)CC1,CHEMBL5094288,8.04,8.094743951251548,549.6350000000002,3.721020000000002,2,9,True
C#CCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,CHEMBL3092304,303.0,6.518557371497695,455.87700000000024,4.088300000000002,3,6,True
C#CCNC(=O)c1cc(Nc2cc(C3CC3)[nH]n2)nc(N2CCN(Cc3ccc(S(=O)(=O)F)cc3)CC2)n1,CHEMBL4855850,125.0,6.903089986991944,538.6090000000002,2.1640999999999995,3,9,True
C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,CHEMBL1243316,30.115000000000002,7.5212171324934,477.9270000000002,4.758780000000003,3,6,True
C#CCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,CHEMBL597949,14.8,7.8297382846050425,357.7720000000001,4.186500000000002,1,5,True
C#CCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,CHEMBL597948,25.9,7.586700235918748,339.7820000000001,4.047400000000002,1,5,True
C#CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,CHEMBL3787386,7.0,8.154901959985743,396.80900000000014,4.302400000000002,2,5,True
C#CCn1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N(C)CCN(C)C)cc3OC)n2)c2ccccc21,CHEMBL4790568,1.01,8.995678626217357,523.6410000000003,4.606000000000004,2,8,True
C#Cc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1F,CHEMBL65250,4.0,8.397940008672037,323.327,3.511000000000002,1,5,True
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)ccc1F,CHEMBL598798,28.8,7.540607512240769,452.4860000000002,4.337100000000003,3,7,True
C#Cc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2s1,CHEMBL3416634,71.0,7.1487416512809245,409.873,5.787700000000003,1,5,True
C#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,CHEMBL249509,126.9,6.896538377905295,297.7200000000001,4.1472000000000016,1,3,True
C#Cc1cccc(-n2ccc3cc(OC)cc(O)c3c2=O)c1,CHEMBL2442327,3060.0,5.51427857351842,291.30600000000004,2.6862000000000013,1,4,True
C#Cc1cccc(-n2ccc3cc(OC)cc(OC)c3c2=O)c1,CHEMBL2442319,3510.0,5.454692883534176,305.333,2.989200000000001,0,4,True
C#Cc1cccc(N2C(=O)Nc3c(C(=O)Nc4ccc(CN5CCCC5)cc4)sc4ncnc2c34)c1,CHEMBL3416629,26.0,7.585026652029182,494.5800000000004,5.204300000000004,2,6,True
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)c(OC)cc2O)c1,CHEMBL2047026,1120.0,5.950781977329818,439.4680000000002,3.0288000000000013,5,6,True
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)ccc2O)c1,CHEMBL2047020,3310.0,5.480172006224281,409.4420000000001,3.020200000000001,5,5,True
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)ccc2OC)c1,CHEMBL2047028,5160.0,5.287350298372789,423.46900000000016,3.3232000000000017,4,5,True
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCCC(=O)NO)ccc2O)c1,CHEMBL2047024,2250.0,5.647817481888637,423.46900000000016,3.410300000000001,5,5,True
C#Cc1cccc(NC(=O)c2cc(OCCCCCCC(=O)NO)ccc2O)c1,CHEMBL2047029,900.0,6.045757490560675,396.44300000000004,3.4605000000000015,4,5,True
C#Cc1cccc(NC(=O)c2cccc(NC(=O)CCCCCC(=O)NO)c2)c1,CHEMBL2047027,6170.0,5.209714835966758,393.4430000000002,3.3146000000000013,4,4,True
C#Cc1cccc(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)c1,CHEMBL4440586,61.0,7.214670164989233,329.3590000000001,3.8485800000000028,1,5,True
C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL95320,850.0,6.070581074285707,417.46500000000026,3.8817800000000027,1,7,True
C#Cc1cccc(Nc2cccc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,CHEMBL4637274,2.4,8.619788758288394,432.5200000000003,5.408000000000003,3,5,True
C#Cc1cccc(Nc2ccnc3cc(OC)c(OC)cc23)c1,CHEMBL1092250,30.5,7.515700160653214,304.34900000000005,3.9769000000000023,1,4,True
C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL1089203,185.0,6.732828271596986,392.4550000000002,4.010100000000003,1,6,True
C#Cc1cccc(Nc2nc(C)nc3oc(C)cc23)c1,CHEMBL3297892,30.0,7.522878745280337,263.29999999999995,3.564540000000002,1,4,True
C#Cc1cccc(Nc2nc(N)nc3[nH]c(CCc4ccccn4)cc23)c1,CHEMBL2335379,19900.0,4.701146923590294,354.41700000000003,3.4452000000000016,3,5,True
C#Cc1cccc(Nc2nc(N)nc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,CHEMBL1094475,55200.0,4.2580609222708015,408.2920000000001,5.162600000000002,3,4,True
C#Cc1cccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C(C)C)c1,CHEMBL3678948,3.0,8.522878745280337,466.5930000000003,4.627500000000004,2,8,True
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,CHEMBL69966,18.0,7.7447274948966935,497.5590000000004,2.3927199999999997,4,7,True
C#Cc1cccc(Nc2ncnc3cc(OC(C)C)c4c(c23)OCCO4)c1,CHEMBL3805509,27.549999999999997,7.559878396812196,361.4010000000002,3.9131000000000027,1,6,True
C#Cc1cccc(Nc2ncnc3cc(OC(C)COC)c4c(c23)OCCO4)c1,CHEMBL3805584,274.85,6.56090425869825,391.42700000000025,3.539600000000002,1,7,True
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)/C=C/CN(C)C4CC4)cc23)c1,CHEMBL3622674,3.3,8.481486060122112,427.50800000000027,3.952200000000003,2,6,True
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)/C=C/CN4CCCCC4)cc23)c1,CHEMBL3622672,12.35,7.9083330424043154,441.53500000000037,4.343900000000003,2,6,True
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)/C=C/CNC4CC4)cc23)c1,CHEMBL3622677,7.9,8.102372908709558,413.4810000000002,3.610000000000002,3,6,True
